Latitude,Longitude,Name
34.5260131,69.1776476,Kabul
34.5374388,69.1823989,Wazir Akbar Khan
28.0,66.0,Baluchistan
34.3941976,70.5485459,Kabul River
-1.91667,31.25,Ghargha Lake
33.7680065,66.2385139,Afghanistan
36.8707187,68.7563528,Kunduz
35.7006177,51.4013785,Tehran
34.54808,68.937163,Paghman
32.6475314,54.5643516,Iran
33.0990821,35.3767646,Sanaubar
42.3598421,19.4781509,Brut
33.75,66.0,Hazarajat
28.6141793,77.2022662,New Delhi
34.3508273,62.2164003,Herat
45.14914,11.82057,Isteqial Middle School
51.2086975,89.2343748,Asia
34.430195,70.460128,Jalalabad
22.3511148,78.6677428,India
18.9387711,72.8353355,Bombay
51.5175527,-0.0667951,Salahuddin
39.8866115,73.5640484,Shar
34.5260131,69.1776476,Kabul
